slug,nombre,pais,fundada,firma,descripcion
lattafa,Lattafa,Emiratos Árabes Unidos,,Perfumería árabe contemporánea.,"Casa de Emiratos Árabes Unidos conocida por reinterpretar la perfumería oriental con fragancias intensas, de larga duración y a precio accesible."
armaf,Armaf,Emiratos Árabes Unidos,,Estela marcada y gran rendimiento.,Marca de Emiratos Árabes Unidos detrás de la línea Club de Nuit y de la colección Odyssey.
rasasi,Rasasi,Emiratos Árabes Unidos,1979,Perfumería de Dubái desde 1979.,Casa perfumista de Dubái fundada en 1979. Su línea Hawas es una de las más reconocidas de la perfumería árabe moderna.
afnan,Afnan,Emiratos Árabes Unidos,,Perfumería árabe de Dubái.,"Casa de Emiratos Árabes Unidos detrás de las líneas 9pm, 9am y Supremacy."
french-avenue,French Avenue,Emiratos Árabes Unidos,,"Inspiración de nicho, escuela árabe.","Línea de Fragrance World con fragancias de inspiración nicho como Vulcan, Veneno y Chaos."
fragrance-world,Fragrance World,Emiratos Árabes Unidos,,Perfumería de Emiratos Árabes Unidos.,"Casa de Emiratos Árabes Unidos con un catálogo amplio de fragancias florales, gourmand y orientales."
orientica,Orientica,Emiratos Árabes Unidos,,Lujo oriental en frasco de joya.,"Línea de lujo de Al Haramain, reconocible por sus frascos ornamentados y sus fragancias ambaradas."
asdaaf,Asdaaf,Emiratos Árabes Unidos,,Una línea de la casa Lattafa.,"Marca de la casa Lattafa, conocida por Ameer Al Arab y Ameerat Al Arab."
maison-alhambra,Maison Alhambra,Emiratos Árabes Unidos,,Una línea de la casa Lattafa.,"Marca de la casa Lattafa con fragancias de inspiración europea, como la colección Sceptre."
paris-corner,Paris Corner,Emiratos Árabes Unidos,,Perfumería árabe de estilo gourmand.,Casa de Emiratos Árabes Unidos con líneas como Khair y Mawj.
khadlaj,Khadlaj,Emiratos Árabes Unidos,,Perfumería de Dubái.,"Casa perfumista de Emiratos Árabes Unidos, autora de la línea Shiyaaka."
dumont,Dumont,Emiratos Árabes Unidos,,Perfumería árabe de estilo francés.,Marca de Emiratos Árabes Unidos creadora de la línea Nitro.
bharara,Bharara,,,Fragancias de inspiración árabe.,"Casa conocida por fragancias intensas como King, Viking y Bleu."
gissah,Gissah,,,Perfumería árabe.,Casa de perfumería árabe con presentaciones de 200 ml.
al-ezz-oud,Al Ezz Oud,,,Perfumería árabe.,"Casa de perfumería árabe, autora de Hersh Lahab."
xerjoff,Xerjoff,Italia,,Alta perfumería italiana.,"Casa italiana de perfumería de nicho conocida por sus frascos de cristal y las colecciones Erba, Coro y Tony Iommi."
le-labo,Le Labo,Estados Unidos,2006,Perfumería de nicho de Nueva York.,"Casa neoyorquina de perfumería de nicho, famosa por Santal 33 y Another 13."
bond-no-9,Bond No. 9,Estados Unidos,2003,Nueva York en un frasco.,Casa de nicho de Nueva York cuyos perfumes rinden homenaje a los barrios de la ciudad.
creed,Creed,Francia,,Perfumería de nicho de tradición europea.,Casa de perfumería de nicho célebre por Aventus.
dior,Dior,Francia,1946,Alta costura francesa.,"Casa de moda francesa fundada por Christian Dior en 1946. En perfumería, Sauvage y Fahrenheit."
chanel,Chanel,Francia,1910,Elegancia parisina.,"Casa de moda francesa fundada por Gabrielle Chanel. En perfumería, Coco Mademoiselle y Bleu de Chanel."
versace,Versace,Italia,1978,Moda italiana.,"Casa de moda italiana fundada por Gianni Versace. En perfumería, Eros, Dylan Blue y Bright Crystal."
valentino,Valentino,Italia,1960,Alta costura romana.,Casa de moda italiana fundada en Roma. Su línea Born in Roma es de las más vendidas.
giorgio-armani,Giorgio Armani,Italia,1975,Moda italiana.,Casa de moda italiana. La familia Acqua di Giò es de sus fragancias más reconocidas.
hugo-boss,Hugo Boss,Alemania,1924,Moda alemana.,Casa de moda alemana con líneas de perfumería como Boss Bottled y Hugo.
carolina-herrera,Carolina Herrera,Estados Unidos,,Moda de Nueva York.,Casa de moda fundada por la diseñadora venezolana Carolina Herrera. Sus líneas 212 y Good Girl son de las más vendidas.
jean-paul-gaultier,Jean Paul Gaultier,Francia,,Moda francesa.,Casa de moda francesa. Le Male y Scandal son sus fragancias más conocidas.
paco-rabanne,Paco Rabanne,Francia,1966,Moda francesa.,"Casa de moda francesa, hoy Rabanne, creadora de Invictus."
azzaro,Azzaro,Francia,,Moda francesa.,Casa francesa creadora de las líneas Wanted y The Most Wanted.
yves-saint-laurent,Yves Saint Laurent,Francia,1961,Moda francesa.,"Casa de moda francesa fundada en 1961. En perfumería, Y."
lancome,Lancôme,Francia,1935,Belleza francesa.,"Casa francesa de belleza fundada en 1935, creadora de La Vie Est Belle."
montblanc,Montblanc,Alemania,1906,Casa alemana.,"Casa alemana de instrumentos de escritura y accesorios, con perfumería como Legend y Explorer."
calvin-klein,Calvin Klein,Estados Unidos,1968,Moda estadounidense.,"Casa de moda estadounidense creadora de CK One, CK Be y Eternity."
dkny,DKNY,Estados Unidos,1989,Nueva York.,"Línea de Donna Karan New York, creadora de Be Delicious."
dolce-gabbana,Dolce & Gabbana,Italia,1985,Moda italiana.,Casa de moda italiana creadora de Light Blue.
moschino,Moschino,Italia,1983,Moda italiana.,Casa de moda italiana. Su línea Toy tiene el frasco con forma de oso.
burberry,Burberry,Reino Unido,1856,Moda británica.,"Casa de moda británica fundada en 1856, creadora de Brit."
issey-miyake,Issey Miyake,Japón,,Diseño japonés.,Casa de diseño japonesa creadora de L'Eau d'Issey.
lacoste,Lacoste,Francia,1933,Moda francesa.,"Casa francesa de ropa deportiva, con fragancias como Touch of Pink y L.12.12 Blanc."
davidoff,Davidoff,Suiza,,Casa suiza.,Marca suiza creadora de Cool Water.
ralph-lauren,Ralph Lauren,Estados Unidos,1967,Moda estadounidense.,Casa de moda estadounidense creadora de Polo Sport.
salvatore-ferragamo,Salvatore Ferragamo,Italia,1927,Moda italiana.,"Casa de moda italiana. En perfumería, la línea Incanto."
clinique,Clinique,Estados Unidos,1968,Cuidado y fragancia.,Marca estadounidense de belleza creadora de Happy.
nautica,Nautica,Estados Unidos,1983,Estilo náutico.,Marca estadounidense de ropa creadora de Nautica Voyage.
